objective,group,run,tag,file
CLM,gpt_valid/approach3_flops/127M_flops,gpt_127M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_127M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/127M_flops,gpt_130M_1024l_1e19flops_all0.07ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_130M_1024l_1e19flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/127M_flops,gpt_130M_1024l_1e20flops_all0.65ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_130M_1024l_1e20flops_all0.65ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/127M_flops,gpt_130M_1024l_3e18flops_all0.02ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_130M_1024l_3e18flops_all0.02ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/127M_flops,gpt_130M_1024l_3e19flops_all0.2ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_130M_1024l_3e19flops_all0.2ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/127M_flops,gpt_130M_1024l_6e18flops_all0.04ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_130M_1024l_6e18flops_all0.04ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/127M_flops,gpt_130M_bsz0.5M_lr5.0_1024_noreg_all0.25ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_130M_bsz0.5M_lr5.0_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/127M_flops,gpt_130M_bsz0.5M_lr5.0_1024_noreg_all0.5ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_130M_bsz0.5M_lr5.0_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/127M_flops,gpt_130M_bsz0.5M_lr5.0_1024_noreg_all0.75ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_130M_bsz0.5M_lr5.0_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/127M_flops,gpt_130M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_130M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/13M_flops,gpt_10M_1024l_1e18flops_all0.06ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_10M_1024l_1e18flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/13M_flops,gpt_10M_1024l_1e19flops_all0.63ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/13M_flops,gpt_10M_1024l_3e18flops_all0.19ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_10M_1024l_3e18flops_all0.19ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/13M_flops,gpt_10M_1024l_6e18flops_all0.38ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_10M_1024l_6e18flops_all0.38ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/13M_flops,gpt_10M_bsz0.5M_lr10_1024_noreg_all0.25ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_10M_bsz0.5M_lr10_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/13M_flops,gpt_10M_bsz0.5M_lr10_1024_noreg_all0.75ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_10M_bsz0.5M_lr10_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/13M_flops,gpt_10M_bsz0.5M_lr10_1024_noreg_all1ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_10M_bsz0.5M_lr10_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/154M_flops,gpt_154M_1024l_1e19flops_all0.05ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_154M_1024l_1e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/154M_flops,gpt_154M_1024l_1e20flops_all0.5ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_154M_1024l_1e20flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
