obj,dir,run,N_dir,N_file,budget_label,C_final,L_last,L_last5,L_last5_sd,span_last5,n,bad_axis,dir_vs_file,budget,C_over_budget,used
CLM,13M_flops,run-gpt_10M_1024l_6e18flops_all0.38ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,13192320,10000000.0,6e+18,5.981237437e+18,2.570434093475342,2.5697162628173826,0.004287768312159754,0.008140990641632503,482,False,0.27704974909458335,,,False
CLM,34M_flops,run-gpt_25M_1024l_6e18flops_all0.15ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,33690624,25000000.0,6e+18,5.991963772e+18,2.549822807312012,2.5563910007476807,0.0052390248383363475,0.020265499195344514,189,False,0.29834375419529685,,,False
CLM,65M_flops,run-gpt_49M_1024l_6e18flops_all0.08ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,65728000,49000000.0,6e+18,5.986778104e+18,2.538604259490967,2.5351863384246824,0.0046493915458544035,0.037632368710888084,97,False,0.2937047161954664,,,False
CLM,127M_flops,run-gpt_130M_1024l_6e18flops_all0.04ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968,130000000.0,6e+18,5.9945095e+18,2.551531314849853,2.5532204627990724,0.009520361517937012,0.07593411003852775,50,False,0.017850938004434252,,,False
CLM,154M_flops,run-gpt_154M_1024l_6e18flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,154448288,154000000.0,6e+18,6.018638458e+18,2.5799384117126465,2.570768642425537,0.0059551707659122296,0.08042268286718876,42,False,0.002906732396164563,,,False
CLM,170M_flops,run-gpt_170M_1024l_6e18flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344,170000000.0,6e+18,5.992083067e+18,2.55914044380188,2.5635239601135256,0.0029793895932067977,0.08896034301254797,38,False,0.0013716705943202176,,,False
CLM,13M_flops,run-gpt_10M_1024l_1e19flops_all0.63ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,13192320,10000000.0,1e+19,9.942389779e+18,2.5622239112854004,2.5632581233978273,0.005202086464877384,0.0038489546125850503,802,False,0.27704974909458335,1e+19,0.9942389779,True
CLM,25M_flops,run-tensorboard_gpt_25.1M_1024l_1e19flops_all0.3ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,25165824,25100000.0,1e+19,1.001792428e+19,2.5553886890411377,2.5490408897399903,0.00482720016376283,0.009234473271542937,421,False,0.00261903744483947,1e+19,1.001792428,True
CLM,47M_flops,run-gpt_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,47775744,47000000.0,1e+19,1.0025157323e+19,2.520271062850952,2.5221022605895995,0.003858863064416217,0.017516449801453105,222,False,0.0163704612934504,1e+19,1.0025157323,True
CLM,65M_flops,run-gpt_49M_1024l_1e19flops_all0.13ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,65728000,49000000.0,1e+19,1.0004327274e+19,2.508206367492676,2.510781002044678,0.003527583421074989,0.02159104976117358,162,False,0.2937047161954664,1e+19,1.0004327274,True
CLM,85M_flops,run-gpt_85M_1024l_1e19flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,84934656,85000000.0,1e+19,1.0207934275e+19,2.494500637054444,2.5130420207977293,0.010949640392009694,0.024799454735909335,128,False,0.0007690485832456438,1e+19,1.0207934275000001,True
CLM,106M_flops,run-tensorboard_gpt_106M_1024l_1e19flops_all0.08ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,106168320,106000000.0,1e+19,1.0016629791e+19,2.5026392936706543,2.509626054763794,0.003930677387620996,0.038236767454870986,100,False,0.0015866651092134958,1e+19,1.0016629791,True
CLM,127M_flops,run-gpt_130M_1024l_1e19flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968,130000000.0,1e+19,1.002938358e+19,2.51560115814209,2.5132558822631834,0.0028400700270278323,0.03946209882621709,84,False,0.017850938004434252,1e+19,1.002938358,True
CLM,154M_flops,run-gpt_154M_1024l_1e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,154448288,154000000.0,1e+19,1.0000639961e+19,2.5101983547210693,2.5102066516876222,0.005712545145320241,0.05335210447338691,69,False,0.002906732396164563,1e+19,1.0000639961,True
CLM,170M_flops,run-tensorboard_gpt_170M_1024l_1e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344,170000000.0,1e+19,1.0003931466e+19,2.519173622131348,2.515757608413696,0.004964357915656776,0.053070832382689476,63,False,0.0013716705943202176,1e+19,1.0003931466,True
CLM,230M_flops,run-tensorboard_gpt_230M_1024l_1e19flops_all0.04ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,231211008,230000000.0,1e+19,1.0000115765e+19,2.5387156009674072,2.531925582885742,0.0061402953254721445,0.0824351878890473,46,False,0.005251439198337288,1e+19,1.0000115765,True
CLM,300M_flops,run-gpt_300M_1024l_1e19flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,302426080,300000000.0,1e+19,1.0011473905e+19,2.56384825706482,2.5606576919555666,0.004941083800226199,0.0881458967354717,36,False,0.008054409316673224,1e+19,1.0011473905,True
CLM,25M_flops,run-tensorboard_gpt_25.1M_1024l_3e19flops_all1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,25165824,25100000.0,3e+19,3.0114388479e+19,2.523061752319336,2.5237952709197997,0.0023406575774007664,0.0033248850153414556,1000,False,0.00261903744483947,3e+19,1.0038129492999999,True
CLM,34M_flops,run-gpt_25M_1024l_3e19flops_all0.75ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,33690624,25000000.0,3e+19,2.9859014926e+19,2.5070197582244877,2.5085399627685545,0.0067391314729499455,0.00420494036093177,941,False,0.29834375419529685,3e+19,0.9953004975333334,True
CLM,47M_flops,run-gpt_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,47775744,47000000.0,3e+19,3.0161768506e+19,2.487875699996948,2.4775182247161864,0.007969459567268512,0.005347753795269448,668,False,0.0163704612934504,3e+19,1.0053922835333333,True
CLM,65M_flops,run-gpt_49M_1024l_3e19flops_all0.38ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,65728000,49000000.0,3e+19,2.9973952434e+19,2.4827980995178223,2.47278151512146,0.007283730781086718,0.007916003554167746,484,False,0.2937047161954664,3e+19,0.9991317477999999,True
CLM,85M_flops,run-gpt_85M_1024l_3e19flops_all0.3ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,84934656,85000000.0,3e+19,2.9960953426e+19,2.473391056060791,2.463699769973755,0.005761027005333046,0.008583345975126161,374,False,0.0007690485832456438,3e+19,0.9986984475333333,True
CLM,106M_flops,run-tensorboard_gpt_106M_1024l_3e19flops_all0.24ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,106168320,106000000.0,3e+19,3.0050223874e+19,2.460880756378174,2.454537868499756,0.004626613192334252,0.011532125199900267,300,False,0.0015866651092134958,3e+19,1.0016741291333333,True
CLM,127M_flops,run-gpt_130M_1024l_3e19flops_all0.2ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,127699968,130000000.0,3e+19,3.0011884717e+19,2.451277732849121,2.445851373672485,0.00802105488972115,0.012946715165139441,250,False,0.017850938004434252,3e+19,1.0003961572333333,True
CLM,154M_flops,run-gpt_154M_1024l_3e19flops_all0.16ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,154448288,154000000.0,3e+19,3.0002405376e+19,2.4329259395599365,2.435000276565552,0.0070066209952557214,0.019385740633491317,206,False,0.002906732396164563,3e+19,1.0000801792,True
CLM,170M_flops,run-gpt_170M_1024l_3e19flops_all0.15ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344,170000000.0,3e+19,3.00117944e+19,2.436018228530884,2.4390380859375,0.0048315186673487005,0.020971538609500854,187,False,0.0013716705943202176,3e+19,1.0003931466666667,True
CLM,230M_flops,run-tensorboard_gpt_230M_1024l_3e19flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,231211008,230000000.0,3e+19,3.0001803765e+19,2.4435629844665527,2.441394329071045,0.005048789086634777,0.024224476891214642,138,False,0.005251439198337288,3e+19,1.0000601255,True
CLM,300M_flops,run-gpt_300M_1024l_3e19flops_all0.08ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,302426080,300000000.0,3e+19,2.9926965735e+19,2.445687770843506,2.4447839736938475,0.008441558449745685,0.03720885892209536,105,False,0.008054409316673224,3e+19,0.9975655244999999,True
CLM,393M_flops,run-gpt_393M_1024l_3e19flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,393216000,393000000.0,3e+19,2.9988857231e+19,2.460117816925049,2.4575273036956786,0.0029802494792438273,0.046360896692082425,81,False,0.0005494673357816,3e+19,0.9996285743666666,True
CLM,470M_flops,run-gpt_470M_1024l_3e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,472435184,470000000.0,3e+19,3.0035127078e+19,2.4641566276550293,2.465337133407593,0.007114777609857145,0.0503041994154469,68,False,0.0051678661005296524,3e+19,1.0011709026,True
CLM,550M_flops,run-gpt_550M_1024l_3e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,550502400,550000000.0,3e+19,3.0082148961e+19,2.487795352935791,2.4810805797576903,0.005648575144155942,0.06660520857727299,58,False,0.0009130375997392325,3e+19,1.0027382987,True
CLM,65M_flops,run-gpt_49M_1024l_6e19flops_all0.75ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,65728000,49000000.0,6e+19,5.9869020068e+19,2.4639430046081543,2.456316614151001,0.011746180561049837,0.003504463372904625,967,False,0.2937047161954664,,,False
CLM,106M_flops,run-tensorboard_gpt_106M_1024l_1e20flops_all0.78ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,106168320,106000000.0,1e+20,1.00167301415e+20,2.4198288917541504,2.407102632522583,0.008413272241296774,0.00318246936372251,999,False,0.0015866651092134958,1e+20,1.0016730141499999,True
