Wall time,Step,Value
1709538884.8100097,300,2.660283088684082
1709539413.3806705,600,2.6212692260742188
1709539944.8170297,900,2.6077771186828613
1709540480.556457,1200,2.592288017272949
1709541012.0324595,1500,2.579103946685791
1709541548.05692,1800,2.563307762145996
1709542081.2877975,2100,2.527966260910034
1709542611.3692875,2400,2.515867233276367
1709543149.862732,2700,2.517617702484131
1709543685.1106699,3000,2.498112201690674
1709544222.598244,3300,2.4938724040985107
1709544753.4275205,3600,2.4865384101867676
1709545288.498358,3900,2.4768667221069336
1709545823.8778882,4200,2.4752156734466553
1709546358.8989007,4500,2.4656214714050293
1709546894.632582,4800,2.463174819946289
1709547430.7261772,5100,2.4551026821136475
1709547965.0518231,5400,2.444287061691284
1709548499.3642623,5700,2.4528822898864746
1709549033.8495257,6000,2.4441990852355957
1709549570.826809,6300,2.454268455505371
1709550106.5654042,6600,2.4384427070617676
1709550643.0974026,6900,2.4220805168151855
1709551176.5558205,7200,2.434760093688965
1709551707.4353905,7500,2.422720432281494
1709552239.4222696,7800,2.4299025535583496
1709552779.028819,8100,2.414729118347168
1709553318.7328207,8400,2.400643825531006
1709553856.609372,8700,2.4162392616271973
1709554395.50577,9000,2.414735794067383
1709554936.439385,9300,2.406879186630249
1709555472.864768,9600,2.403937578201294
1709556008.463051,9900,2.4131789207458496
1709556547.315674,10200,2.403367042541504
1709557084.0251906,10500,2.3996782302856445
1709557621.402154,10800,2.404040575027466
1709558160.1980667,11100,2.398714542388916
1709558696.905756,11400,2.391584873199463
1709559234.5695105,11700,2.398836135864258
1709559770.7738502,12000,2.3990530967712402
1709560310.3979788,12300,2.4002156257629395
1709560848.366391,12600,2.3897294998168945
1709561386.964412,12900,2.383373737335205
1709561925.7742057,13200,2.391683578491211
1709562462.1101577,13500,2.3909244537353516
1709562999.5555735,13800,2.388051986694336
1709563540.4484236,14100,2.381735324859619
1709564075.0610168,14400,2.3832406997680664
1709564613.3367348,14700,2.3921661376953125
1709565150.4354029,15000,2.3831088542938232
1709565693.0752032,15300,2.3758339881896973
1709566228.1337388,15600,2.383117437362671
1709566766.0620039,15900,2.3730409145355225
1709567304.7368867,16200,2.381220817565918
1709567840.3125255,16500,2.366023540496826
1709568376.9809327,16800,2.369375705718994
1709568914.4562242,17100,2.3690176010131836
1709569452.0604448,17400,2.361058235168457
1709569989.8042688,17700,2.3724586963653564
1709570526.873815,18000,2.3670737743377686
1709571066.6764376,18300,2.3630971908569336
1709571602.00043,18600,2.3616511821746826
1709572138.5380661,18900,2.3588650226593018
1709572678.2047803,19200,2.3670237064361572
1709573214.7332819,19500,2.3624677658081055
1709573749.2259018,19800,2.3421192169189453
1709574285.2682989,20100,2.3654210567474365
1709574820.3756623,20400,2.358250379562378
1709575354.6489437,20700,2.348907470703125
1709575892.5197558,21000,2.358661413192749
1709576432.7258387,21300,2.343967914581299
1709576970.3245354,21600,2.3448214530944824
1709577505.7990937,21900,2.3574581146240234
1709578045.251671,22200,2.353426933288574
1709578582.2051759,22500,2.357975482940674
1709579116.563763,22800,2.341870069503784
1709579656.855332,23100,2.3422744274139404
1709580192.5513976,23400,2.343289375305176
1709580727.3482425,23700,2.3333351612091064
1709581262.7100558,24000,2.3407514095306396
1709581800.8751404,24300,2.3354740142822266
1709582337.17371,24600,2.3454222679138184
1709582871.0991406,24900,2.33078932762146
1709583408.344077,25200,2.3377552032470703
1709583944.6142247,25500,2.336207151412964
1709584480.3073552,25800,2.337573766708374
1709585017.9554849,26100,2.3375887870788574
1709585554.0752962,26400,2.3284623622894287
1709586090.2315497,26700,2.341601610183716
1709586626.4900413,27000,2.3291330337524414
1709587165.3704996,27300,2.3287601470947266
1709587701.3612056,27600,2.332655429840088
1709588236.997643,27900,2.3315064907073975
1709588777.6042318,28200,2.3137996196746826
1709589315.67894,28500,2.3366897106170654
1709589850.4800162,28800,2.314913749694824
1709590390.0603313,29100,2.3243041038513184
1709590925.8793628,29400,2.33148455619812
1709591461.3527424,29700,2.329493522644043
1709591999.0049899,30000,2.316556453704834
1709592537.1593597,30300,2.311678647994995
1709593072.8705738,30600,2.3224074840545654
1709593610.9621813,30900,2.321408271789551
1709594150.6116505,31200,2.314282178878784
1709594687.1350918,31500,2.3216381072998047
1709595222.6736057,31800,2.320143699645996
1709595762.0696135,32100,2.320885419845581
1709596296.3614671,32400,2.3107452392578125
1709596831.5226035,32700,2.3135852813720703
1709597366.8710198,33000,2.325155258178711
1709597905.9708805,33300,2.3174188137054443
1709598442.2054129,33600,2.3069674968719482
1709598976.959542,33900,2.31033992767334
1709599516.677078,34200,2.3068723678588867
1709600052.5539436,34500,2.320969820022583
1709600589.0703242,34800,2.3106162548065186
1709601130.4049554,35100,2.321057081222534
1709601664.8744824,35400,2.3098926544189453
1709602201.858866,35700,2.3032643795013428
1709602738.8236132,36000,2.308966875076294
1709603276.8628752,36300,2.2998435497283936
1709603814.3802397,36600,2.307692050933838
1709604351.2047355,36900,2.2968335151672363
1709604888.9702342,37200,2.300144672393799
1709605425.2684176,37500,2.3143393993377686
1709605959.875372,37800,2.2928857803344727
1709606497.6175485,38100,2.2930667400360107
1709607035.316317,38400,2.3078439235687256
1709607571.2125385,38700,2.2948570251464844
1709608109.3052988,39000,2.3037796020507812
1709608649.6622677,39300,2.292794704437256
1709609185.5059748,39600,2.3090686798095703
1709609722.6597927,39900,2.3017568588256836
1709610262.3054812,40200,2.2863612174987793
1709610799.3990939,40500,2.293229103088379
1709611335.6047873,40800,2.2885947227478027
1709611875.3735447,41100,2.300746202468872
1709612412.4284613,41400,2.2935025691986084
1709612947.7255604,41700,2.304964542388916
1709613485.3462863,42000,2.2940216064453125
1709614022.9154227,42300,2.3090360164642334
1709614557.4628532,42600,2.2928924560546875
1709615093.0322335,42900,2.3015527725219727
1709615631.838788,43200,2.284365653991699
1709616166.448455,43500,2.288137912750244
1709616702.5133877,43800,2.301492214202881
1709617242.8923893,44100,2.2930922508239746
1709617778.659419,44400,2.2896087169647217
1709618313.2016582,44700,2.2980422973632812
1709618846.8122685,45000,2.295966148376465
1709619385.9640348,45300,2.295764923095703
1709619923.0255744,45600,2.2942330837249756
1709620460.747012,45900,2.2884273529052734
1709621000.2617726,46200,2.2784554958343506
1709621536.5495605,46500,2.2861475944519043
1709622072.830021,46800,2.2830989360809326
1709622612.8348503,47100,2.277517318725586
1709623150.1619272,47400,2.2870073318481445
1709623686.5010962,47700,2.286435604095459
1709624223.1547441,48000,2.2822537422180176
1709624763.5411558,48300,2.277780294418335
1709625299.0025558,48600,2.2886476516723633
1709625836.1249604,48900,2.2993180751800537
1709626374.7489693,49200,2.284947395324707
1709626908.88161,49500,2.282726764678955
1709627446.1840498,49800,2.282003402709961
1709627985.2105346,50100,2.2863500118255615
1709628520.7168436,50400,2.2869961261749268
1709629057.6733317,50700,2.290302276611328
1709629595.7126513,51000,2.29240083694458
1709630136.605486,51300,2.2794361114501953
1709630673.8070211,51600,2.2790627479553223
1709631211.7568426,51900,2.286264419555664
1709631752.2094805,52200,2.2922725677490234
1709632289.1147237,52500,2.2881076335906982
1709632825.4831278,52800,2.290419816970825
1709633363.3575094,53100,2.2879743576049805
1709633900.0572655,53400,2.2888917922973633
1709634435.3548224,53700,2.2880330085754395
1709634974.1259916,54000,2.281033515930176
1709635513.5571282,54300,2.286350727081299
1709636050.7043302,54600,2.2748770713806152
1709636588.115028,54900,2.2869372367858887
1709637127.0493872,55200,2.279752016067505
1709637662.1602619,55500,2.2877721786499023
1709638197.3152325,55800,2.287299633026123
1709638736.3176901,56100,2.28718900680542
1709639272.2595603,56400,2.2795615196228027
1709639809.307293,56700,2.281900405883789
1709640345.2228642,57000,2.2881569862365723
1709640742.9615731,57220,2.2700581550598145
